Party,State School,Private / Grammar school,Undergraduate,Masters Degree,PHD / Research Degree,Evening / Vocational Classes
Conservatives ,9,3,8,5,0,2
Independent ,4,0,2,1,1,1
Labour ,28,1,24,14,5,6
Liberal Democrats ,0,1,0,0,0,0
Plaid Cymru ,10,0,9,4,0,0
UKIP ,2,2,3,2,0,1
